data
77.0
77.0
77.0
77.0
77.0
77.0
77.0
77.0
77.0
77.0
77.0
77.0
75.0
75.0
75.0
75.0
75.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
73.0
75.0
75.0
77.0
79.0
81.0
81.0
81.0
81.0
79.0
77.0
73.0
69.0
67.0
63.0
59.0
57.0
57.0
55.0
55.0
55.0
55.0
55.0
55.0
57.0
59.0
61.0
65.0
69.0
71.0
75.0
77.0
77.0
77.0
75.0
73.0
71.0
67.0
65.0
61.0
59.0
57.0
57.0
55.0
55.0
55.0
57.0
57.0
59.0
61.0
65.0
67.0
71.0
73.0
75.0
77.0
75.0
73.0
71.0
67.0
65.0
63.0
59.0
57.0
57.0
55.0
55.0
55.0
57.0
57.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
77.0
75.0
73.0
71.0
69.0
65.0
63.0
61.0
59.0
57.0
57.0
55.0
55.0
57.0
57.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
75.0
75.0
73.0
71.0
69.0
65.0
63.0
59.0
57.0
57.0
55.0
55.0
55.0
55.0
57.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
75.0
73.0
71.0
69.0
67.0
63.0
61.0
59.0
57.0
57.0
55.0
55.0
55.0
57.0
59.0
61.0
63.0
65.0
69.0
71.0
73.0
75.0
73.0
71.0
69.0
67.0
63.0
61.0
59.0
57.0
57.0
57.0
57.0
57.0
57.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
75.0
73.0
71.0
69.0
65.0
63.0
61.0
59.0
57.0
55.0
55.0
55.0
55.0
57.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
75.0
73.0
71.0
69.0
67.0
63.0
61.0
59.0
57.0
57.0
57.0
57.0
57.0
57.0
59.0
61.0
63.0
67.0
69.0
73.0
75.0
75.0
75.0
73.0
69.0
67.0
63.0
61.0
59.0
59.0
57.0
57.0
57.0
57.0
59.0
61.0
63.0
65.0
67.0
71.0
75.0
75.0
75.0
73.0
71.0
69.0
65.0
63.0
61.0
59.0
59.0
57.0
57.0
57.0
59.0
59.0
61.0
63.0
65.0
69.0
73.0
75.0
77.0
75.0
75.0
73.0
69.0
67.0
65.0
63.0
61.0
59.0
59.0
59.0
59.0
61.0
61.0
63.0
65.0
67.0
71.0
75.0
77.0
77.0
77.0
75.0
73.0
69.0
67.0
65.0
63.0
61.0
61.0
59.0
59.0
61.0
61.0
63.0
65.0
67.0
69.0
73.0
75.0
77.0
77.0
75.0
73.0
71.0
67.0
65.0
63.0
61.0
61.0
59.0
59.0
59.0
61.0
63.0
65.0
67.0
69.0
73.0
75.0
77.0
77.0
77.0
75.0
73.0
69.0
67.0
65.0
63.0
61.0
61.0
61.0
61.0
63.0
63.0
65.0
67.0
71.0
73.0
75.0
77.0
79.0
77.0
75.0
73.0
71.0
67.0
65.0
63.0
63.0
61.0
61.0
61.0
61.0
63.0
65.0
67.0
69.0
71.0
75.0
77.0
77.0
77.0
75.0
73.0
71.0
67.0
65.0
63.0
61.0
61.0
61.0
61.0
61.0
63.0
63.0
65.0
67.0
71.0
73.0
77.0
77.0
77.0
75.0
73.0
71.0
69.0
67.0
65.0
63.0
61.0
61.0
61.0
61.0
63.0
63.0
65.0
69.0
71.0
73.0
75.0
77.0
77.0
75.0
73.0
71.0
69.0
